scene_id,scene_path,category,overlay_owner,node_count,resource_count,sha256,currentVisualAcceptance,nextEvidence,currentScreenCandidates,sourceSemanticsAcceptance,reviewDetails
80,ui/hunt/setting/menu_top_plugin_scene.nxr,Hunt Loadout / Equipment,OVL12,12,1,dfdd69867a65853040135001d8827083bc1bbd21aca2087fc65d3ce257af98d2,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,HUNT_LOADOUT,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
81,ui/hunt/setting/menu_top_release_scene.nxr,Hunt Loadout / Equipment,OVL12,9,1,87bf42a1067b7e959d03d175e99d32d573af20007bfc774c9e3d0aad5ba6c6bc,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,HUNT_LOADOUT,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
82,ui/hunt/setting/setting_equip_main_scene.nxr,Hunt Loadout / Equipment,OVL12,22,2,5c22a8892c7d92744329ea0184838b1ab6a2a2a6af0efcc4bc6279b129676dc2,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,HUNT_LOADOUT,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
83,ui/hunt/setting/setting_equip_sub_scene.nxr,Hunt Loadout / Equipment,OVL12,5,1,597b3f70dadd9d44204942357207d420e950892a3d5a509e37a3133dd64dc65e,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,HUNT_LOADOUT,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
84,ui/hunt/setting/setting_gear_main_scene.nxr,Hunt Loadout / Equipment,OVL12,12,1,2d7656609bcbbf40ffb731e6d9a9ad1afeffd1e9e22241c6dc1f4c73aa86553a,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,HUNT_LOADOUT,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
85,ui/hunt/setting/setting_gear_main_slot_scene.nxr,Hunt Loadout / Equipment,OVL12,13,1,3b591f2a5408fbd62b03e2da3c13d23c5ab7be485695a95af8f81d698b53e5ce,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,HUNT_LOADOUT,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
86,ui/hunt/setting/setting_gear_sub_scene.nxr,Hunt Loadout / Equipment,OVL12,8,1,6f0e02cc6d8a8e036cd063d68db0e41a8a5c12dbde02998a4ef76bdb15dcc043,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,HUNT_LOADOUT,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
87,ui/hunt/setting/setting_sub_base_scene.nxr,Hunt Loadout / Equipment,OVL12,7,1,7571d3309071947080f27460c208bef9e5a14d6fa5551edee5d491c04b38201a,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,HUNT_LOADOUT,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
88,ui/hunt/world/world_sub_base_scene.nxr,Hunt World / Gate UI,OVL12,5,2,d23148dd9a004f5923a5be7cdc0c127c50b07011a42d20423d9acd38a68dcd8e,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,GATE_SELECT,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
89,ui/info_bar.nxr,Shared UI Components,Shared,9,1,cf6af76f9a99e91fa0e362fb65fa6896cab17d1bf969db451eed4f3b3e19d0bf,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,SHARED_TOOLBAR_DIALOGS_AND_PAGE_COMPONENTS,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
90,ui/keyboard.nxr,Shared UI Components,Shared,131,1,147df4d853758d9d89a659f30a4437c65bfc1c4cdf1764dcc2c19680bc4343b7,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,SHARED_TOOLBAR_DIALOGS_AND_PAGE_COMPONENTS,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
91,ui/mailer_scene.nxr,Shared UI Components,Shared,3,1,f8aacdae4615e48cce31d59bc138c638fcb6c1c0f7b5a207e0f1164253a2cd37,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,SHARED_TOOLBAR_DIALOGS_AND_PAGE_COMPONENTS,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
92,ui/net_keyboard.nxr,Shared UI Components,Shared,5,1,399fb4a5605ec8abde7839be476d424f8c15459bba4834dbf7e18a58c7fb602b,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,SHARED_TOOLBAR_DIALOGS_AND_PAGE_COMPONENTS,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
93,ui/save_icon_scene.nxr,Shared UI Components,Shared,2,2,b9761e5f844ba52a7bfd2555d87634a45cc2d629ed7600b58a3ce153a2f6fb6c,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,SHARED_TOOLBAR_DIALOGS_AND_PAGE_COMPONENTS,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
94,ui/toolbar.nxr,Shared UI Components,Shared,18,1,67f9929d1cb6255409c14fa08283bc73dd0b7779fc8f04ee9909daab52f2845b,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,SHARED_TOOLBAR_DIALOGS_AND_PAGE_COMPONENTS,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
95,ui/world_number_scene.nxr,Shared UI Components,Shared,16,1,b1900000553739b24e03087c7dd85c64d4786c974b808109f231781bee237b90,NOT_REVALIDATED_THIS_AUDIT,Original composed frame + normal current browser path + source caller,SHARED_TOOLBAR_DIALOGS_AND_PAGE_COMPONENTS,PARTIAL_NOT_FULL_PARITY,全功能頁與特效審查.md
