speciesIndex,entityId,kind,mainSequences,mainFrameReferences,reactionCasesExercisedByFocusedTest,reactionScope,normalAllBehaviors,visualAllBehaviors,device
188,m502_valkyrimon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
189,m503_warglaymon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
190,m504_gigaseadramon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
191,m505_grankuwagamon,REGULAR,40,58,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
192,m506_griffomon,REGULAR,40,69,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
193,m507_crossmon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
194,m508_saberleomon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
195,m509_shinegraymon,REGULAR,40,67,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
196,m510_skullmammon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
197,m511_saintgargomon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
198,m512_hiandromon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
199,m513_bantyoliomon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
200,m514_piemon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
201,m515_pinochimon,REGULAR,40,70,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
202,m516_pharaohmon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
203,m517_pukumon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
204,m518_blackwargreymon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
205,m519_princemamemon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
206,m520_pilesiomon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
207,m521_heraklekabuterimon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
208,m522_hououmon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
209,m526_miragegaogamon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
210,m527_mugendramon,REGULAR,40,70,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
211,m528_metaletemon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
212,m529_metalgarurumon_va,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
213,m530_metalgarurumon_vi,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
214,m531_metalseadramon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
215,m532_rosemon,REGULAR,40,69,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
216,m533_zeedgarurumon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
217,m534_victorygreymon,REGULAR,40,66,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
218,m535_slayerdramon,REGULAR,40,69,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
219,m536_brakedramon,REGULAR,40,67,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
220,m538_apollomon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
221,m539_dianamon,REGULAR,40,67,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
222,m540_imperialdramon_fm,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
223,m541_dukemon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
224,m201_agumon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
225,m509_shinegraymon,REGULAR,40,67,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
226,m330_geograymon,REGULAR,40,65,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
227,m331_seadramon,REGULAR,40,70,52,CONTROLLED_HELPER_ONLY,NOT_ACCEPTED,NOT_ACCEPTED,NOT_TESTED
