021229DC andeq    sb, ip, #0x2c400
021235F0 bl       #0x2066c90
021235F4 cmp      r0, #0
021235F8 beq      #0x212365c
021235FC stm      sp, {r5, sb}
02123600 str      r6, [sp, #8]
02123604 str      r7, [sp, #0xc]
02123608 mov      r2, r4
0212360C mov      r4, #1
02123610 ldr      r3, [sp, #0x20]
02123614 add      r0, sp, #0x28
02123618 mov      r1, fp
0212361C str      r6, [sp, #0x10]
02123620 str      r4, [sp, #0x24]
02123624 bl       #0x2122dc0
02123628 add      r0, sp, #0x28
0212362C add      r3, sp, #0x58
02123630 ldm      r0, {r0, r1, r2}
02123634 stm      r3, {r0, r1, r2}
02123638 ldr      r2, [sp, #0x58]
0212363C ldr      r1, [sl]
02123640 ldr      r0, [sp, #0x14]
02123644 str      r2, [r1, #0x1cc]
02123648 ldr      r3, [sp, #0x5c]
0212364C ldr      r2, [sl]
02123650 mov      r1, sl
02123654 str      r3, [r2, #0x1d0]
02123658 bl       #0x2123310
0212365C ldr      r0, [sp, #0x24]
02123660 add      sp, sp, #0x88
02123664 pop      {r3, r4, r5, r6, r7, r8, sb, sl, fp, pc}
02123668 ldr      r3, [r0, #0x30]
0212366C mov      r2, #0
02123670 ldr      r1, [r3, #0x20]
02123674 cmp      r1, #5
02123678 ldreq    r0, [r0, #0x3c]
0212367C bxeq     lr
02123680 add      r2, r2, #1
02123684 cmp      r2, #2
02123688 add      r3, r3, #0x24
0212368C blt      #0x2123670
02123690 mvn      r0, #0
02123694 bx       lr
02123698 push     {r3, r4, r5, r6, r7, r8, sb, lr}
0212369C sub      sp, sp, #0x10
021236A0 mov      r4, #0
021236A4 mov      sb, r0
021236A8 mov      r8, r1
021236AC mov      r7, r2
021236B0 mov      r6, r3
021236B4 mov      r5, r4
021236B8 ldr      r0, [sb, #0x30]
021236BC add      r0, r0, r5
021236C0 ldr      r1, [r0, #0x20]
021236C4 cmp      r1, #5
021236C8 bne      #0x2123778
021236CC ldr      r1, [sb, #0x3c]
021236D0 ldr      r2, [r8]
021236D4 sub      r1, r1, #2
021236D8 cmp      r1, #1
021236DC asrls    r7, r7, #1
021236E0 ldr      r1, [r0, #0xc]
021236E4 add      r3, r2, r7, asr #1
021236E8 asrls    r6, r6, #1
021236EC cmp      r3, r1
021236F0 ble      #0x2123778
021236F4 ldr      r1, [r0, #0x10]
021236F8 sub      r2, r2, r7, asr #1
021236FC cmp      r2, r1
02123700 bge      #0x2123778
02123704 ldr      r1, [r8, #4]
02123708 ldr      ip, [r0, #0x14]
0212370C cmp      r1, ip
02123710 ble      #0x2123778
02123714 ldr      ip, [r0, #0x18]
02123718 sub      lr, r1, r6
0212371C cmp      lr, ip
02123720 bge      #0x2123778
02123724 ldr      r0, [r0]
02123728 asr      r2, r2, #0xc
0212372C str      r2, [sp]
02123730 asr      r2, r1, #0xc
02123734 str      r2, [sp, #4]
02123738 asr      r1, r3, #0xc
0212373C str      r1, [sp, #8]
02123740 str      r2, [sp, #0xc]
02123744 ldr      r1, [r0, #0x28]
02123748 ldr      r2, [r0, #0x1cc]
0212374C ldr      r3, [r0, #0x1d0]
02123750 ldr      ip, [r0, #0x24]
02123754 asr      r1, r1, #0xc
02123758 asr      r0, ip, #0xc
0212375C asr      r2, r2, #0xc
02123760 asr      r3, r3, #0xc
02123764 bl       #0x2066c90
02123768 cmp      r0, #0
0212376C addne    sp, sp, #0x10
02123770 movne    r0, r4
02123774 popne    {r3, r4, r5, r6, r7, r8, sb, pc}
02123778 add      r4, r4, #1
0212377C cmp      r4, #2
02123780 add      r5, r5, #0x24
02123784 blt      #0x21236b8
02123788 mvn      r0, #0
0212378C add      sp, sp, #0x10
02123790 pop      {r3, r4, r5, r6, r7, r8, sb, pc}
02123794 push     {r4, r5, r6, lr}
02123798 sub      sp, sp, #0x30
0212379C mov      r4, #0x24
021237A0 mul      lr, r1, r4
021237A4 ldr      r6, [r0, #0x30]
021237A8 mov      r4, r3
021237AC ldr      ip, [r6, lr]
021237B0 add      r0, sp, #0x24
021237B4 ldr      r3, [ip, #0x24]
021237B8 add      r1, sp, #0x18
021237BC str      r3, [sp, #0x24]
021237C0 ldr      r5, [ip, #0x28]
021237C4 add      r3, sp, #0
021237C8 str      r5, [sp, #0x28]
021237CC ldr      r5, [ip, #0x2c]
021237D0 mov      ip, #0
021237D4 str      r5, [sp, #0x2c]
021237D8 ldr      r5, [r6, lr]
021237DC ldr      lr, [r5, #0x1cc]
021237E0 str      lr, [sp, #0x18]
021237E4 ldr      lr, [r5, #0x1d0]
021237E8 str      lr, [sp, #0x1c]
021237EC ldr      lr, [r5, #0x1d4]
021237F0 str      lr, [sp, #0x20]
021237F4 ldr      lr, [r2]
021237F8 str      lr, [sp, #0xc]
021237FC ldr      lr, [r2, #4]
02123800 add      r2, sp, #0xc
02123804 str      lr, [sp, #0x10]
02123808 str      ip, [sp, #0x14]
0212380C str      ip, [sp, #0x20]
02123810 str      ip, [sp, #0x2c]
02123814 bl       #0x2066aa8
02123818 ldr      r0, [sp]
0212381C cmp      r0, #0
02123820 ldreq    r0, [sp, #4]
02123824 cmpeq    r0, #0
02123828 ldreq    r0, [sp, #8]
0212382C cmpeq    r0, #0
02123830 beq      #0x2123840
02123834 add      r0, sp, #0
02123838 mov      r1, r0
0212383C bl       #0x2002a6c
02123840 ldr      r1, [sp]
02123844 mov      r0, #0
02123848 rsb      r1, r1, #0
0212384C str      r1, [r4]
02123850 ldr      r1, [sp, #4]
02123854 rsb      r1, r1, #0
02123858 str      r1, [r4, #4]
0212385C str      r0, [r4, #8]
02123860 add      sp, sp, #0x30
02123864 pop      {r4, r5, r6, pc}
02123868 push     {r3, r4, r5, r6, r7, r8, sb, sl, fp, lr}
0212386C sub      sp, sp, #0x48
02123870 mov      r2, #0
02123874 mov      r1, #0x1a
02123878 mov      sb, r0
0212387C str      r2, [sp, #8]
02123880 bl       #0x2044100
02123884 cmp      r0, #0
02123888 beq      #0x21238f0
0212388C ldr      r0, [pc, #0x6a8] ; literal=0x020FBA08
02123890 ldr      r1, [sb, #0x3c]
02123894 ldr      r0, [r0]
02123898 ldr      r0, [r0, #4]
0212389C add      r0, r0, r1, lsl #1
021238A0 add      r0, r0, #0xa00
021238A4 ldrh     r0, [r0, #0x58]
021238A8 cmp      r0, #0
021238AC beq      #0x21238f0
021238B0 ldr      r1, [sb, #0x30]
021238B4 mov      r0, #1
021238B8 str      r0, [sp, #8]
021238BC ldr      r0, [r1, #0x20]
021238C0 cmp      r0, #5
021238C4 ldreq    r0, [r1, #0x44]
021238C8 cmpeq    r0, #5
021238CC bne      #0x21238f0
021238D0 ldr      r0, [sb, #0x38]
021238D4 cmp      r0, #0
021238D8 ldreq    r2, [sp, #8]
021238DC mov      r0, #0x24
021238E0 movne    r2, #0
021238E4 mla      r0, r2, r0, r1
021238E8 mov      r1, #0
021238EC str      r1, [r0, #0x20]
021238F0 mov      r4, #0
021238F4 ldr      fp, [pc, #0x644] ; literal=0x02099D6C
021238F8 str      r4, [sp, #4]
021238FC mov      r8, r4
02123900 add      sl, sp, #0x3c
02123904 ldr      r0, [sb, #0x30]
02123908 add      r5, r0, r8
0212390C ldr      r0, [r5, #0x20]
02123910 cmp      r0, #5
02123914 addls    pc, pc, r0, lsl #2
02123918 b        #0x2123f20
0212391C b        #0x2123934
02123920 b        #0x2123954
02123924 b        #0x2123998
02123928 b        #0x2123ac4
0212392C b        #0x2123e30
02123930 b        #0x2123f0c
02123934 mov      r0, #0
02123938 str      r0, [r5, #4]
0212393C str      r0, [r5, #8]
02123940 mov      r0, #1
02123944 str      r0, [r5, #0x20]
02123948 ldr      r0, [sb, #0x34]
0212394C cmp      r4, r0
02123950 strlt    r4, [sb, #0x34]
02123954 ldr      r0, [sb, #0x34]
02123958 cmp      r4, r0
0212395C bne      #0x2123f20
02123960 ldr      r0, [sp, #8]
02123964 cmp      r0, #0
02123968 beq      #0x2123f20
0212396C ldr      r0, [sp, #4]
02123970 cmp      r0, #0
02123974 bne      #0x2123f20
02123978 mov      r0, #2
0212397C str      r0, [r5, #0x20]
02123980 mov      r0, #1
02123984 str      r0, [sp, #4]
02123988 ldr      r0, [sb, #0x34]
0212398C add      r0, r0, #1
02123990 str      r0, [sb, #0x34]
02123994 b        #0x2123f20
02123998 ldr      r0, [pc, #0x5a4] ; literal=0x0212ACB8
0212399C ldr      r2, [pc, #0x5a4] ; literal=0x0210A730
021239A0 ldr      r1, [r0]
021239A4 ldr      r0, [pc, #0x59c] ; literal=0x0210A730
021239A8 ldrh     r2, [r2, #2]
021239AC ldrh     r3, [r0]
021239B0 ldr      r0, [pc, #0x594] ; literal=0x0212AC48
021239B4 add      r6, r1, r3
021239B8 ldr      r1, [pc, #0x588] ; literal=0x0210A730
021239BC ldr      r0, [r0]
021239C0 ldrh     r1, [r1, #4]
021239C4 add      r7, r0, r2
021239C8 cmp      r1, #0
021239CC moveq    r0, #0
021239D0 streq    r0, [r5, #0x20]
021239D4 beq      #0x2123f20
021239D8 mov      r0, sb
021239DC mov      r1, #0x69
021239E0 bl       #0x2044100
021239E4 cmp      r0, #0
021239E8 bne      #0x2123f20
021239EC mov      r0, sb
021239F0 mov      r1, r6
021239F4 mov      r2, r7
021239F8 bl       #0x2122fc0
021239FC cmp      r0, #0
02123A00 bne      #0x2123f20
02123A04 ldr      r3, [r5]
02123A08 lsl      r2, r6, #0xc
02123A0C lsl      r0, r7, #0xc
02123A10 str      r2, [r3, #0x24]
02123A14 str      r0, [r3, #0x28]
02123A18 mov      r0, #0
02123A1C str      r0, [r3, #0x2c]
02123A20 ldr      r2, [r5]
02123A24 mov      r1, #8
02123A28 ldr      r0, [r2, #0x24]
02123A2C str      r0, [r2, #0xf8]
02123A30 ldr      r0, [r2, #0x28]
02123A34 str      r0, [r2, #0xfc]
02123A38 ldr      r0, [r2, #0x2c]
02123A3C str      r0, [r2, #0x100]
02123A40 ldr      r2, [r5]
02123A44 ldr      r0, [r2, #0x24]
02123A48 str      r0, [r2, #0x2a0]
02123A4C ldr      r0, [r2, #0x28]
02123A50 str      r0, [r2, #0x2a4]
02123A54 ldr      r0, [r2, #0x2c]
02123A58 str      r0, [r2, #0x2a8]
02123A5C ldr      r2, [r5]
02123A60 ldr      r0, [r2, #0x24]
02123A64 str      r0, [r2, #0x1cc]
02123A68 ldr      r0, [r2, #0x28]
02123A6C str      r0, [r2, #0x1d0]
02123A70 ldr      r0, [r2, #0x2c]
02123A74 str      r0, [r2, #0x1d4]
02123A78 ldr      r0, [r5]
02123A7C bl       #0x20472cc
02123A80 ldr      r0, [r5]
02123A84 mov      r1, #8
02123A88 add      r0, r0, #0xd4
02123A8C bl       #0x20472cc
02123A90 ldr      r0, [r5]
02123A94 mov      r1, #8
02123A98 add      r0, r0, #0x27c
02123A9C bl       #0x20472cc
02123AA0 ldr      r0, [r5]
02123AA4 mov      r1, #8
02123AA8 add      r0, r0, #0x1a8
02123AAC bl       #0x20472cc
02123AB0 mov      r0, #1
02123AB4 str      r0, [r5, #4]
02123AB8 mov      r0, #3
02123ABC str      r0, [r5, #0x20]
02123AC0 b        #0x2123f20
02123AC4 ldr      r0, [pc, #0x478] ; literal=0x0212ACB8
02123AC8 ldr      r1, [r5]
02123ACC ldr      r2, [r0]
02123AD0 ldr      r3, [pc, #0x470] ; literal=0x0210A730
02123AD4 ldr      r0, [pc, #0x46c] ; literal=0x0210A730
02123AD8 add      r6, r1, #0x24
02123ADC ldrh     r1, [r0]
02123AE0 ldr      r0, [pc, #0x464] ; literal=0x0212AC48
02123AE4 ldrh     r7, [r3, #2]
02123AE8 ldr      r0, [r0]
02123AEC add      r1, r2, r1
02123AF0 add      r0, r0, r7
02123AF4 lsl      r3, r1, #0xc
02123AF8 lsl      r7, r0, #0xc
02123AFC ldm      r6, {r0, r1, r2}
02123B00 stm      sl, {r0, r1, r2}
02123B04 mov      r0, #0
02123B08 str      r0, [sp, #0x38]
02123B0C str      r3, [sp, #0x30]
02123B10 str      r7, [sp, #0x34]
02123B14 add      r0, sp, #0x30
02123B18 mov      r1, sl
02123B1C bl       #0x2002b84
02123B20 ldr      r3, [sb, #0x3c]
02123B24 ldr      r1, [pc, #0x424] ; literal=0x020C9F78
02123B28 mov      r2, #0x18
02123B2C mla      r1, r3, r2, r1
02123B30 ldrh     r6, [r1, #4]
02123B34 cmp      r6, r0, asr #12
02123B38 ble      #0x2123b58
02123B3C ldr      r1, [r5]
02123B40 ldr      r0, [sp, #0x30]
02123B44 str      r0, [r1, #0x1cc]
02123B48 ldr      r0, [sp, #0x34]
02123B4C str      r0, [r1, #0x1d0]
02123B50 ldr      r0, [sp, #0x38]
02123B54 b        #0x2123bdc
02123B58 add      r0, sp, #0x30
02123B5C mov      r1, sl
02123B60 add      r2, sp, #0x24
02123B64 bl       #0x2002918
02123B68 add      r0, sp, #0x24
02123B6C mov      r1, r0
02123B70 bl       #0x2002a6c
02123B74 lsl      r0, r6, #0xc
02123B78 ldr      r7, [sp, #0x24]
02123B7C ldr      r6, [sp, #0x3c]
02123B80 smull    r3, r2, r7, r0
02123B84 adds     r3, r3, #0x800
02123B88 adc      r2, r2, #0
02123B8C lsr      r3, r3, #0xc
02123B90 orr      r3, r3, r2, lsl #20
02123B94 add      r2, r6, r3
02123B98 ldr      r3, [sp, #0x28]
02123B9C ldr      r1, [sp, #0x40]
02123BA0 smull    r7, r6, r3, r0
02123BA4 mov      r0, #0x800
02123BA8 adds     r3, r7, r0
02123BAC mov      r0, #0
02123BB0 adc      r0, r6, r0
02123BB4 lsr      r3, r3, #0xc
02123BB8 orr      r3, r3, r0, lsl #20
02123BBC add      r0, r1, r3
02123BC0 str      r2, [sp, #0x24]
02123BC4 str      r0, [sp, #0x28]
02123BC8 ldr      r1, [r5]
02123BCC str      r2, [r1, #0x1cc]
02123BD0 ldr      r0, [sp, #0x28]
02123BD4 str      r0, [r1, #0x1d0]
02123BD8 ldr      r0, [sp, #0x2c]
02123BDC str      r0, [r1, #0x1d4]
02123BE0 mov      r0, sb
02123BE4 mov      r1, r4
02123BE8 bl       #0x2122ff4
02123BEC ldr      r0, [r5]
02123BF0 add      r3, sp, #0xc
02123BF4 add      r0, r0, #0x1cc
02123BF8 ldm      r0, {r0, r1, r2}
02123BFC stm      r3, {r0, r1, r2}
02123C00 mov      r0, r3
02123C04 mov      r1, sl
02123C08 add      r2, sp, #0x18
02123C0C bl       #0x2002918
02123C10 ldr      r0, [sp, #0x18]
02123C14 cmp      r0, #0
02123C18 ldreq    r0, [sp, #0x1c]
02123C1C cmpeq    r0, #0
02123C20 beq      #0x2123c30
02123C24 add      r0, sp, #0x18
02123C28 mov      r1, r0
02123C2C bl       #0x2002a6c
02123C30 ldr      r0, [sp, #0x1c]
02123C34 ldr      r1, [sp, #0x18]
02123C38 bl       #0x2003098
02123C3C mov      r6, r0
02123C40 add      r0, sp, #0xc
02123C44 mov      r1, sl
02123C48 bl       #0x2002b84
02123C4C mov      r1, #0x8000
02123C50 bl       #0x2002738
02123C54 ldr      r7, [sp, #0x18]
02123C58 ldr      r1, [sp, #0x1c]
02123C5C smull    r3, r2, r7, r0
02123C60 adds     r3, r3, #0x800
02123C64 adc      r2, r2, #0
02123C68 lsr      r3, r3, #0xc
02123C6C orr      r3, r3, r2, lsl #20
02123C70 str      r3, [sp, #0x18]
02123C74 smull    r3, r2, r1, r0
02123C78 mov      r7, #0
02123C7C adds     r3, r3, #0x800
02123C80 mov      r1, r7
02123C84 adc      r1, r2, r1
02123C88 lsr      r2, r3, #0xc
02123C8C orr      r2, r2, r1, lsl #20
02123C90 cmp      r0, #0
02123C94 str      r2, [sp, #0x1c]
02123C98 movle    r0, r7
02123C9C strle    r0, [r5, #8]
02123CA0 ble      #0x2123d54
02123CA4 ldr      r3, [r5]
02123CA8 asr      r1, r6, #4
02123CAC add      r7, r6, #0x8000
02123CB0 ldr      r6, [r3, #0x24]
02123CB4 lsl      r1, r1, #1
02123CB8 str      r6, [r3, #0xf8]
02123CBC ldr      ip, [r3, #0x28]
02123CC0 lsr      r6, r7, #0x1f
02123CC4 rsb      r7, r6, r7, lsl #16
02123CC8 str      ip, [r3, #0xfc]
02123CCC add      r6, r6, r7, ror #16
02123CD0 ldr      ip, [r3, #0x2c]
02123CD4 lsl      r2, r1, #1
02123CD8 asr      r6, r6, #4
02123CDC lsl      r7, r6, #1
02123CE0 str      ip, [r3, #0x100]
02123CE4 ldrsh    r3, [fp, r2]
02123CE8 lsl      r6, r7, #1
02123CEC add      r2, fp, r7, lsl #1
02123CF0 ldr      r7, [r5]
02123CF4 add      r1, fp, r1, lsl #1
02123CF8 str      r3, [r7, #0xe0]
02123CFC ldrsh    r3, [r1, #2]
02123D00 ldr      r1, [r5]
02123D04 str      r3, [r1, #0xe4]
02123D08 ldr      r1, [r5]
02123D0C str      r0, [r1, #0xd8]
02123D10 mov      r1, #1
02123D14 str      r1, [r5, #8]
02123D18 ldr      r1, [r5]
02123D1C ldr      r3, [r1, #0x1cc]
02123D20 str      r3, [r1, #0x2a0]
02123D24 ldr      r3, [r1, #0x1d0]
02123D28 str      r3, [r1, #0x2a4]
02123D2C ldr      r3, [r1, #0x1d4]
02123D30 str      r3, [r1, #0x2a8]
02123D34 ldrsh    r3, [fp, r6]
02123D38 ldr      r1, [r5]
02123D3C str      r3, [r1, #0x288]
02123D40 ldrsh    r2, [r2, #2]
02123D44 ldr      r1, [r5]
02123D48 str      r2, [r1, #0x28c]
02123D4C ldr      r1, [r5]
02123D50 str      r0, [r1, #0x280]
02123D54 ldr      r1, [r5, #0x10]
02123D58 ldr      r0, [r5, #0xc]
02123D5C ldr      r2, [r5, #0x18]
02123D60 sub      r0, r1, r0
02123D64 ldr      r1, [r5, #0x14]
02123D68 asr      r0, r0, #0xc
02123D6C sub      r1, r2, r1
02123D70 asr      r2, r1, #0xc
02123D74 mul      r1, r2, r2
02123D78 mla      r1, r0, r0, r1
02123D7C mov      r6, #0
02123D80 cmp      r1, #0x400
02123D84 ble      #0x2123dcc
02123D88 ldr      r0, [r5]
02123D8C mov      r1, #0x17
02123D90 mov      r6, #1
02123D94 bl       #0x20472cc
02123D98 ldr      r0, [r5]
02123D9C mov      r1, #0x17
02123DA0 add      r0, r0, #0xd4
02123DA4 bl       #0x20472cc
02123DA8 ldr      r0, [r5]
02123DAC mov      r1, #0x17
02123DB0 add      r0, r0, #0x27c
02123DB4 bl       #0x20472cc
02123DB8 ldr      r0, [r5]
02123DBC mov      r1, #0x17
02123DC0 add      r0, r0, #0x1a8
02123DC4 bl       #0x20472cc
02123DC8 b        #0x2123e08
02123DCC ldr      r0, [r5]
02123DD0 mov      r1, #8
02123DD4 bl       #0x20472cc
02123DD8 ldr      r0, [r5]
02123DDC mov      r1, #8
02123DE0 add      r0, r0, #0xd4
02123DE4 bl       #0x20472cc
02123DE8 ldr      r0, [r5]
02123DEC mov      r1, #8
02123DF0 add      r0, r0, #0x27c
02123DF4 bl       #0x20472cc
02123DF8 ldr      r0, [r5]
02123DFC mov      r1, #8
02123E00 add      r0, r0, #0x1a8
02123E04 bl       #0x20472cc
02123E08 ldr      r0, [pc, #0x138] ; literal=0x0210A730
02123E0C ldrh     r0, [r0, #4]
02123E10 cmp      r0, #0
02123E14 bne      #0x2123f20
02123E18 cmp      r6, #0
02123E1C movne    r0, #4
02123E20 strne    r0, [r5, #0x20]
02123E24 moveq    r0, #0
02123E28 streq    r0, [r5, #0x20]
02123E2C b        #0x2123f20
02123E30 mov      r0, sb
02123E34 mov      r1, r5
02123E38 bl       #0x2123310
02123E3C ldr      r0, [r5]
02123E40 mov      r1, #0x1f
02123E44 bl       #0x20472cc
02123E48 ldr      r0, [r5]
02123E4C mov      r1, #0x1f
02123E50 add      r0, r0, #0xd4
02123E54 bl       #0x20472cc
02123E58 ldr      r0, [r5]
02123E5C mov      r1, #0x1f
02123E60 add      r0, r0, #0x27c
02123E64 bl       #0x20472cc
02123E68 ldr      r0, [r5]
02123E6C mov      r1, #0x1f
02123E70 add      r0, r0, #0x1a8
02123E74 bl       #0x20472cc
02123E78 str      r4, [sb, #0x38]
02123E7C mov      r0, #0x258
02123E80 str      r0, [r5, #0x1c]
02123E84 mov      r0, #5
02123E88 str      r0, [r5, #0x20]
02123E8C ldr      r0, [pc, #0xa8] ; literal=0x020FBA08
02123E90 ldr      r1, [r0]
02123E94 ldr      r0, [sb, #0x3c]
02123E98 ldr      r2, [r1, #4]
02123E9C add      r0, r2, r0, lsl #1
02123EA0 add      r0, r0, #0xa00
02123EA4 ldrh     r1, [r0, #0x58]
02123EA8 cmp      r1, #0
02123EAC beq      #0x2123f20
02123EB0 sub      r1, r1, #1
02123EB4 strh     r1, [r0, #0x58]
02123EB8 ldr      r0, [sb, #0x3c]
02123EBC add      r0, r2, r0, lsl #1
02123EC0 add      r0, r0, #0xa00
02123EC4 ldrh     r0, [r0, #0x58]
02123EC8 cmp      r0, #0
02123ECC bne      #0x2123f20
02123ED0 ldr      r0, [pc, #0x7c] ; literal=0x0212BB0C
02123ED4 mov      r1, #0
02123ED8 bl       #0x2060e68
02123EDC mov      r0, sb
02123EE0 mov      r1, #0x79
02123EE4 mov      r2, #0x80
02123EE8 bl       #0x204409c
02123EEC mov      r0, #0x29
02123EF0 str      r0, [sp]
02123EF4 ldr      r0, [pc, #0x58] ; literal=0x0212BB0C
02123EF8 mov      r1, #3
02123EFC mov      r2, #5
02123F00 mov      r3, #0
02123F04 bl       #0x2060cd4
02123F08 b        #0x2123f20
02123F0C ldr      r0, [r5, #0x1c]
02123F10 subs     r0, r0, #1
02123F14 str      r0, [r5, #0x1c]
02123F18 movmi    r0, #0
02123F1C strmi    r0, [r5, #0x20]
02123F20 add      r8, r8, #0x24
02123F24 add      r4, r4, #1
02123F28 cmp      r4, #2
02123F2C blt      #0x2123904
02123F30 mvn      r0, #0
02123F34 add      sp, sp, #0x48
02123F38 pop      {r3, r4, r5, r6, r7, r8, sb, sl, fp, pc}
02123F3C andeq    fp, pc, #8, #20
02123F40 andeq    sb, sb, #108, #26
02123F44 andseq   sl, r2, #184, #24
02123F48 andseq   sl, r0, #48, #14
02123F4C andseq   sl, r2, #72, #24
02123F50 andeq    sb, ip, #120, #30
02123F54 andseq   fp, r2, #12, #22
02123F58 mov      r0, #0
02123F5C bx       lr
02123F60 mov      r0, #0
02123F64 bx       lr
02123F68 mov      r0, #0
02123F6C bx       lr
02123F70 mvn      r0, #0
02123F74 bx       lr
02123F78 mov      r0, #0
02123F7C bx       lr
02123F80 mov      r0, #0
02123F84 bx       lr
02123F88 mov      r0, #0
02123F8C bx       lr
02123F90 mvn      r0, #0
02123F94 bx       lr
02123F98 mov      r0, #0
02123F9C bx       lr
02123FA0 mov      r0, #0
02123FA4 bx       lr
02123FA8 mov      r0, #0
02123FAC bx       lr
02123FB0 mvn      r0, #0
02123FB4 bx       lr
02123FB8 mov      r0, #0
02123FBC bx       lr
02123FC0 mov      r0, #0
02123FC4 bx       lr
02123FC8 mov      r0, #0
02123FCC bx       lr
02123FD0 push     {r4, lr}
02123FD4 mov      r4, r0
02123FD8 ldr      r1, [pc, #0x10] ; literal=0x0212A878
02123FDC add      r0, r4, #0x30
02123FE0 str      r1, [r4]
02123FE4 bl       #0x20474f4
02123FE8 mov      r0, r4
02123FEC pop      {r4, pc}
02123FF0 andseq   sl, r2, #120, #16
02123FF4 push     {r4, lr}
02123FF8 ldr      r1, [pc, #0x20] ; literal=0x0212A878
02123FFC mov      r4, r0
02124000 str      r1, [r4]
02124004 ldr      r1, [r0]
02124008 ldr      r1, [r1, #8]
0212400C blx      r1
02124010 add      r0, r4, #0x30
02124014 bl       #0x2047550
02124018 mov      r0, r4
0212401C pop      {r4, pc}
02124020 andseq   sl, r2, #120, #16
02124024 push     {r4, lr}
02124028 ldr      r1, [pc, #0x28] ; literal=0x0212A878
0212402C mov      r4, r0
02124030 str      r1, [r4]
02124034 ldr      r1, [r0]
02124038 ldr      r1, [r1, #8]
0212403C blx      r1
02124040 add      r0, r4, #0x30
02124044 bl       #0x2047550
02124048 mov      r0, r4
0212404C bl       #0x20505f8
02124050 mov      r0, r4
02124054 pop      {r4, pc}
02124058 andseq   sl, r2, #120, #16
0212405C push     {r4, lr}
02124060 mov      r4, r0
02124064 add      r1, r4, #0x30
02124068 mov      r0, #6
0212406C mov      r2, #0
02124070 bl       #0x211ba44
02124074 str      r0, [r4, #0x10c]
02124078 ldr      r1, [pc, #0x14] ; literal=0x0212A888
0212407C mov      r0, r4
02124080 mov      r2, #0x40
02124084 bl       #0x2043e0c
02124088 mov      r0, r4
0212408C bl       #0x212422c
02124090 pop      {r4, pc}
02124094 andseq   sl, r2, #136, #16
02124098 bx       lr
0212409C push     {r4, lr}
021240A0 mov      r4, r0
021240A4 bl       #0x2044114
021240A8 ldr      r0, [r4, #0x104]
021240AC cmp      r0, #0
021240B0 popeq    {r4, pc}
021240B4 ldr      r0, [pc, #0x30] ; literal=0x0212AC48
021240B8 ldr      r1, [r4, #0x58]
021240BC ldr      r0, [r0]
021240C0 rsbs     r0, r0, r1, asr #12
021240C4 bmi      #0x21240d8
021240C8 cmp      r0, #0x100
021240CC lsllt    r0, r0, #0xc
021240D0 sublt    r0, r0, #0x300000
021240D4 strlt    r0, [r4, #0x64]
021240D8 add      r0, r4, #0x30
021240DC mov      r1, #1
021240E0 mov      r2, #0
021240E4 bl       #0x211dc1c
021240E8 pop      {r4, pc}
021240EC andseq   sl, r2, #72, #24
021240F0 push     {r3, r4, r5, r6, r7, lr}
021240F4 mov      r1, #0x1a
021240F8 mov      r7, r0
021240FC bl       #0x2044100
02124100 cmp      r0, #0
02124104 beq      #0x2124208
02124108 ldr      r0, [pc, #0x100] ; literal=0x020FBA08
0212410C ldr      r2, [pc, #0x100] ; literal=0x0210A730
02124110 ldr      r0, [r0]
02124114 ldr      r3, [pc, #0xfc] ; literal=0x0212ACB8
02124118 ldr      r6, [r0, #4]
0212411C ldr      r0, [r7, #0x10c]
02124120 ldr      r1, [pc, #0xf4] ; literal=0x0212AC48
02124124 add      r0, r6, r0, lsl #1
02124128 add      r0, r0, #0xa00
0212412C ldrh     r0, [r0, #0x70]
02124130 ldrh     r4, [r2]
02124134 ldr      r3, [r3]
02124138 ldrh     r2, [r2, #2]
0212413C ldr      r1, [r1]
02124140 cmp      r0, #0
02124144 add      r4, r3, r4
02124148 add      r5, r1, r2
0212414C beq      #0x2124208
02124150 ldr      r1, [pc, #0xc8] ; literal=0x020FBA14
02124154 asr      r0, r4, #2
02124158 ldr      r3, [r1]
0212415C asr      r2, r5, #2
02124160 add      r1, r4, r0, lsr #29
02124164 add      r2, r5, r2, lsr #29
02124168 ldr      r0, [r3, #4]
0212416C asr      r1, r1, #3
02124170 asr      r2, r2, #3
02124174 bl       #0x207c930
02124178 cmp      r0, #0
0212417C bne      #0x2124208
02124180 ldr      r0, [r7, #0x10c]
02124184 add      ip, r6, #0xa70
02124188 lsl      r3, r0, #1
0212418C ldrh     r2, [ip, r3]
02124190 lsl      r1, r4, #0xc
02124194 lsl      r0, r5, #0xc
02124198 sub      r2, r2, #1
0212419C strh     r2, [ip, r3]
021241A0 str      r1, [r7, #0x54]
021241A4 str      r0, [r7, #0x58]
021241A8 mov      r1, #0
021241AC str      r1, [r7, #0x5c]
021241B0 ldr      r0, [r7, #0x10c]
021241B4 add      r0, r6, r0, lsl #1
021241B8 add      r0, r0, #0xa00
021241BC ldrh     r0, [r0, #0x70]
021241C0 cmp      r0, #0
021241C4 bne      #0x2124200
021241C8 ldr      r0, [pc, #0x54] ; literal=0x0212BB0C
021241CC bl       #0x2060e68
021241D0 ldr      r0, [pc, #0x50] ; literal=0x0212AC1C
021241D4 mov      r1, #0x79
021241D8 ldr      r0, [r0]
